
Running: Dim=10, Cond=1
  Run 0: fmin = 1.0000e+00 | Evals = 1000001 | Best so far = 1.0000e+00
  Run 1: fmin = 9.9610e-07 | Evals = 2732 | Best so far = 9.9610e-07
  Run 2: fmin = 9.8574e-07 | Evals = 2637 | Best so far = 9.8574e-07
  Run 3: fmin = 9.5158e-07 | Evals = 2771 | Best so far = 9.5158e-07
  Run 4: fmin = 8.8717e-07 | Evals = 2782 | Best so far = 8.8717e-07
  Run 5: fmin = 8.4232e-07 | Evals = 2766 | Best so far = 8.4232e-07
  Run 6: fmin = 1.0000e+00 | Evals = 1000001 | Best so far = 8.4232e-07
  Run 7: fmin = 9.9080e-07 | Evals = 2722 | Best so far = 8.4232e-07
  Run 8: fmin = 5.4120e-07 | Evals = 2806 | Best so far = 5.4120e-07
  Run 9: fmin = 6.5238e-07 | Evals = 2713 | Best so far = 5.4120e-07
  Run 10: fmin = 7.9688e-07 | Evals = 2677 | Best so far = 5.4120e-07
  Run 11: fmin = 7.3528e-07 | Evals = 2764 | Best so far = 5.4120e-07
  Run 12: fmin = 5.0751e-07 | Evals = 2602 | Best so far = 5.0751e-07
  Run 13: fmin = 9.4716e-07 | Evals = 2694 | Best so far = 5.0751e-07
  Run 14: fmin = 4.9600e-07 | Evals = 2867 | Best so far = 4.9600e-07
  Run 15: fmin = 7.5018e-07 | Evals = 2663 | Best so far = 4.9600e-07
  Run 16: fmin = 8.8809e-07 | Evals = 2759 | Best so far = 4.9600e-07
  Run 17: fmin = 8.7740e-07 | Evals = 2627 | Best so far = 4.9600e-07
  Run 18: fmin = 6.7154e-07 | Evals = 2720 | Best so far = 4.9600e-07
  Run 19: fmin = 3.7603e-07 | Evals = 2783 | Best so far = 3.7603e-07
  Run 20: fmin = 2.0000e+00 | Evals = 1000001 | Best so far = 3.7603e-07
  Run 21: fmin = 9.3850e-07 | Evals = 2616 | Best so far = 3.7603e-07
  Run 22: fmin = 6.3649e-07 | Evals = 2778 | Best so far = 3.7603e-07
  Run 23: fmin = 8.6245e-07 | Evals = 2764 | Best so far = 3.7603e-07
  Run 24: fmin = 8.4498e-07 | Evals = 2708 | Best so far = 3.7603e-07
  Run 25: fmin = 8.3055e-07 | Evals = 2764 | Best so far = 3.7603e-07
  Run 26: fmin = 3.5158e-07 | Evals = 2728 | Best so far = 3.5158e-07
  Run 27: fmin = 6.8309e-07 | Evals = 2725 | Best so far = 3.5158e-07
  Run 28: fmin = 1.0000e+00 | Evals = 1000001 | Best so far = 3.5158e-07
  Run 29: fmin = 8.8787e-07 | Evals = 2756 | Best so far = 3.5158e-07

Running: Dim=10, Cond=100
